int,100,0.0131
int,200,0.0376
int,500,0.1084
int,1000,0.224
int,2000,0.3508
int,5000,0.6925
int,100000,18.8288
double,100,0.0126
double,200,0.0281
double,500,0.1385
double,1000,0.1537
double,2000,0.4287
double,5000,1.1211
double,100000,16.937
char,100,0.0133
char,200,0.0322
char,500,0.1113
char,1000,0.2974
char,2000,1.0705
char,5000,4.7509
char,100000,949.115
int,100,0.014
int,200,0.0253
int,500,0.0642
int,1000,0.1474
int,2000,0.2549
int,5000,0.7481
int,100000,14.1916
double,100,0.0141
double,200,0.0266
double,500,0.0684
double,1000,0.1634
double,2000,0.267
double,5000,0.6318
double,100000,14.488
char,100,0.0136
char,200,0.0317
char,500,0.1053
char,1000,0.2982
char,2000,0.7651
char,5000,4.0122
char,100000,922.616
int,100,0.0133
int,200,0.0279
int,500,0.074
int,1000,0.1594
int,2000,0.3148
int,5000,0.8438
int,100000,17.7817
double,100,0.0105
double,200,0.0275
double,500,0.0782
double,1000,0.1657
double,2000,0.3214
double,5000,0.8333
double,100000,18.4702
char,100,0.0134
char,200,0.0285
char,500,0.0989
char,1000,0.2356
char,2000,0.5567
char,5000,2.4448
char,100000,900.613
int,100,0.0127
int,200,0.0261
int,500,0.0729
int,1000,0.1194
int,2000,0.2325
int,5000,0.5541
int,100000,15.9696
double,100,0.0129
double,200,0.0278
double,500,0.0748
double,1000,0.174
double,2000,0.3106
double,5000,0.798
double,100000,20.5378
char,100,0.013
char,200,0.0157
char,500,0.0603
char,1000,0.1908
char,2000,0.5909
char,5000,3.7915
char,100000,848.577
int,30,0.0031
double,30,0.0039
char,30,0.0034
int,100,0.011,First
int,200,0.0163,First
int,500,0.0512,First
int,1000,0.0898,First
int,2000,0.2306,First
int,5000,0.4987,First
int,100000,13.5193,First
double,100,0.0126,First
double,200,0.0267,First
double,500,0.0456,First
double,1000,0.1602,First
double,2000,0.2773,First
double,5000,0.7163,First
double,100000,13.6761,First
char,100,0.0152,First
char,200,0.031,First
char,500,0.0982,First
char,1000,0.2262,First
char,2000,0.654,First
char,5000,3.0161,First
char,100000,916.679,First
